"Gender","Age","Family_history_with_overweight","high_calorie_food_eat","vegetable_eat_daily","main_meals_daily","food_between_meals","SMOKE","Water_daily","Calories_monitoring","Physical_activity","Electronic_usage_daily","Alcohol_consumption","Method_of_Transport","Obesity_Level","food_between_meals_num","Alcohol_consumption_num","Obesity_Level_num","Method_of_Transport_num","Age_group","Diet_score"
"Female",21,"Yes","Yes",2.93,3,"Frequently","No",2.79,"No",0.63,1.4,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",4
"Female",23,"Yes","Yes",2,3,"Frequently","No",1.43,"No",2.2,2,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",3
"Female",17,"No","Yes",2.02,4,"Sometimes","No",1.32,"No",0.07,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Female",18,"No","Yes",1.03,3,"Sometimes","No",1.96,"No",0.03,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Female",18,"No","Yes",1.59,4,"Sometimes","No",1.09,"No",0.62,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Female",18,"No","Yes",1.21,2,"Sometimes","No",1.18,"No",0.68,2,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",1
"Female",19,"No","Yes",1.52,3,"Sometimes","No",1.98,"No",2.31,0.7,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Young adult",2
"Female",20,"No","Yes",2.7,3,"Sometimes","No",1.44,"No",0.14,0.3,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Young adult",2
"Male",19,"Yes","Yes",2.36,4,"Sometimes","No",2.36,"No",2,0.9,"No","Automobile","Insufficient Weight",1,0,0,0,"Young adult",4
"Male",17,"Yes","Yes",3,4,"Sometimes","No",2,"No",2.01,0.5,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",5
"Male",18,"Yes","Yes",2.14,4,"Sometimes","No",2.93,"No",2,1.2,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",4
"Male",18,"Yes","Yes",3,4,"Sometimes","No",2,"No",2,0,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",5
"Male",17,"Yes","Yes",2.56,4,"Sometimes","No",2,"No",2,0.3,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",4
"Male",17,"Yes","Yes",2.34,4,"Sometimes","No",2,"No",2,0.1,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",4
"Male",18,"Yes","Yes",2,3,"Sometimes","No",2,"No",0,1.6,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",3
"Male",18,"Yes","Yes",2,3,"Sometimes","No",2,"No",0,1.3,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",3
"Male",18,"Yes","Yes",1.81,3,"Sometimes","No",1.27,"No",0.52,1.7,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Female",19,"No","No",2.72,3,"Frequently","No",1,"Yes",1.07,0,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",4
"Female",19,"No","No",3,3,"Frequently","No",1.28,"Yes",1.6,0,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",5
"Female",19,"No","No",3,3,"Frequently","No",2.88,"Yes",1.26,0,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",6
"Female",19,"No","Yes",3,1,"Frequently","No",1.39,"No",0,0.5,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",2
"Female",19,"No","Yes",2.72,2,"Frequently","No",1.16,"No",1.24,0.9,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",1
"Female",19,"No","Yes",3,1,"Frequently","No",1.85,"No",0,0.7,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",2
"Male",18,"Yes","Yes",1.13,3,"Sometimes","No",1.33,"No",0.23,1.7,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Male",18,"Yes","Yes",2,4,"Sometimes","No",2.28,"No",1.84,2,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",3
"Male",18,"Yes","Yes",1.76,3,"Sometimes","No",1.15,"No",0.83,1.6,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Male",19,"Yes","Yes",2,4,"Sometimes","No",2.98,"No",1.95,2,"No","Public Transportation","Insufficient Weight",1,0,0,2,"Young adult",4
"Female",21,"Yes","Yes",2.98,3,"Frequently","No",2.98,"No",0.95,1.2,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",4
"Female",22,"No","No",3,3,"Frequently","No",2.7,"No",1.97,0,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",6
"Female",23,"No","No",2.2,3,"Frequently","No",2.12,"No",1,0,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",5
"Female",19,"No","No",3,3,"Frequently","No",2.95,"Yes",1.3,0,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",6
"Female",20,"No","Yes",2.93,1,"Frequently","No",1,"No",0,0.3,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",1
"Female",20,"No","Yes",2.89,1,"Frequently","No",1,"No",0,0.2,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",1
"Female",20,"Yes","No",2.89,4,"Frequently","No",1.11,"No",1.55,0.6,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",4
"Male",20,"Yes","Yes",3,4,"Sometimes","No",2.83,"No",1.7,0.1,"Sometimes","Automobile","Insufficient Weight",1,1,0,0,"Young adult",4
"Female",21,"Yes","Yes",3,4,"Frequently","No",1.91,"No",0.48,0.6,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",4
"Female",18,"No","Yes",2,2,"Sometimes","No",1,"No",0.13,1.7,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",1
"Female",19,"No","No",2.53,3,"Sometimes","No",1.97,"No",2,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Young adult",3
"Female",22,"Yes","Yes",2.24,3,"Frequently","No",1.85,"No",2.46,0.8,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",3
"Female",18,"No","Yes",1,4,"Frequently","No",1.01,"No",0.78,1,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Teen",2
"Female",34,"Yes","Yes",2.65,4,"Frequently","No",1.6,"No",0.17,0.1,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Adult",3
"Male",16,"No","Yes",2,2,"Sometimes","No",2.98,"No",0.55,0.4,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Male",18,"No","Yes",2.9,3,"Sometimes","No",1.84,"No",1.16,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Male",17,"Yes","Yes",2.48,4,"Sometimes","No",2,"No",2,0.9,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",4
"Female",16,"No","Yes",2.95,3,"Sometimes","No",2.95,"No",2.83,1.5,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",3
"Male",17,"Yes","Yes",2,4,"Sometimes","No",2.29,"No",2,1.2,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",4
"Female",22,"Yes","Yes",2.48,4,"Frequently","No",2,"No",2,0.3,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",4
"Female",17,"No","Yes",2.78,4,"Sometimes","No",1,"No",2,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Female",19,"No","Yes",1.01,4,"Frequently","No",1,"No",1.68,0.7,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",2
"Female",19,"No","No",2.94,3,"Frequently","No",1.33,"Yes",1.88,0.4,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",4
"Male",17,"Yes","Yes",2.84,4,"Sometimes","No",2,"No",2.51,0.6,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",4
"Female",23,"Yes","Yes",2,3,"Frequently","No",2.69,"No",0.37,2,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",4
"Female",18,"No","Yes",2,3,"Sometimes","No",2,"No",0,1.5,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",3
"Female",19,"No","Yes",1.89,3,"Sometimes","No",2.01,"No",2.08,1.7,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Young adult",3
"Male",18,"Yes","Yes",3,4,"Sometimes","No",2,"No",2,0,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",5
"Male",17,"Yes","Yes",2.94,4,"Sometimes","No",2,"No",2,0.1,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",4
"Male",18,"Yes","Yes",2.34,3,"Sometimes","No",2,"No",0.03,1.9,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",3
"Female",20,"No","No",3,3,"Frequently","No",1,"Yes",0.77,0,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",5
"Female",19,"No","Yes",3,1,"Frequently","No",1.95,"No",0,0.9,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",2
"Male",18,"Yes","Yes",1.95,3,"Sometimes","No",1.75,"No",0.2,1.7,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Male",19,"Yes","Yes",2.28,4,"Sometimes","No",2.89,"No",1.7,1.9,"No","Public Transportation","Insufficient Weight",1,0,0,2,"Young adult",4
"Male",17,"Yes","Yes",2,4,"Sometimes","No",2.37,"No",2,1.6,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",4
"Female",21,"Yes","Yes",2.37,4,"Frequently","No",2.26,"No",2,0.8,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",4
"Female",22,"Yes","Yes",2.98,3,"Frequently","No",2.04,"No",2.01,1.2,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",4
"Female",20,"Yes","Yes",2.98,4,"Frequently","No",2.48,"No",2,1,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",4
"Female",22,"Yes","Yes",2.66,3,"Frequently","No",1.04,"No",0.79,1.4,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",3
"Female",21,"No","No",3,2,"Frequently","No",2.55,"No",1.1,0,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",5
"Female",23,"No","No",2.75,3,"Frequently","No",2.35,"No",1.61,0,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",5
"Female",21,"No","No",3,2,"Frequently","No",2.57,"No",1.19,0,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",5
"Female",21,"No","No",2.32,2,"Frequently","No",1.22,"No",0.03,0,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",3
"Female",23,"No","No",2.59,2,"Frequently","No",1.92,"No",0.42,0,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",3
"Female",22,"No","No",2.89,3,"Frequently","No",2.31,"No",1.42,0,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",5
"Female",18,"No","Yes",3,3,"Sometimes","No",2.92,"Yes",1.35,0.2,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",5
"Female",19,"No","Yes",3,2,"Sometimes","No",2.24,"No",0.21,0.3,"No","Public Transportation","Insufficient Weight",1,0,0,2,"Young adult",4
"Female",19,"No","Yes",3,2,"Sometimes","No",2.32,"No",1.19,0.8,"No","Public Transportation","Insufficient Weight",1,0,0,2,"Young adult",4
"Female",19,"No","Yes",2.97,1,"Frequently","No",1.13,"No",0,0.5,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",1
"Female",21,"No","Yes",3,1,"Frequently","No",1,"No",0,0,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",2
"Female",19,"No","No",3,3,"Frequently","No",1.15,"Yes",0.88,0,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",5
"Female",20,"No","Yes",2.62,1,"Frequently","No",1.2,"No",0,0.8,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",1
"Female",20,"No","Yes",3,1,"Frequently","No",1.19,"No",0,0.1,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",2
"Female",21,"No","Yes",3,1,"Frequently","No",1,"No",0,0,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",2
"Female",21,"Yes","Yes",3,4,"Frequently","No",1.77,"No",0.1,0.7,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",4
"Female",21,"Yes","Yes",3,4,"Frequently","No",1.33,"No",0.79,0.1,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",4
"Female",18,"No","Yes",1.05,4,"Sometimes","No",1,"No",1.85,0.9,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Male",22,"Yes","Yes",3,4,"Sometimes","No",2.23,"No",1.56,0,"Sometimes","Automobile","Insufficient Weight",1,1,0,0,"Young adult",4
"Male",19,"Yes","Yes",3,4,"Sometimes","No",2.55,"No",1.29,0.3,"Sometimes","Automobile","Insufficient Weight",1,1,0,0,"Young adult",4
"Male",21,"Yes","Yes",2.53,4,"Sometimes","No",2.39,"No",1.98,1.7,"No","Automobile","Insufficient Weight",1,0,0,0,"Young adult",4
"Male",18,"Yes","Yes",3,3,"Sometimes","No",2,"No",0.85,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",4
"Female",21,"Yes","Yes",2.88,4,"Frequently","No",1.25,"No",1.95,0.4,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",3
"Male",18,"Yes","Yes",2.82,3,"Sometimes","No",2,"No",0.53,1.1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",3
"Female",18,"No","Yes",2.76,2,"Sometimes","No",1.3,"No",0.25,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",1
"Female",19,"No","Yes",2.07,1,"Sometimes","No",1.68,"No",0,1.7,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Young adult",1
"Female",18,"No","Yes",2.69,1,"Sometimes","No",1.31,"No",0,1.1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",1
"Female",19,"No","Yes",2.79,4,"Sometimes","No",1.54,"No",2,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Young adult",2
"Female",19,"No","No",2.72,3,"Sometimes","No",2,"No",1.86,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Young adult",4
"Female",19,"No","No",2.88,4,"Sometimes","No",1.96,"No",1.51,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Young adult",3
"Female",22,"Yes","Yes",2.67,3,"Frequently","No",2.45,"No",1.32,2,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",4
"Male",20,"Yes","Yes",2,4,"Sometimes","No",2.65,"No",2.11,2,"No","Public Transportation","Insufficient Weight",1,0,0,2,"Young adult",4
"Female",22,"Yes","Yes",2.56,3,"Frequently","No",1.99,"No",0.49,1.6,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",3
"Female",19,"No","Yes",1.21,4,"Sometimes","No",1.03,"No",2,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Young adult",2
"Female",18,"No","Yes",1.14,4,"Sometimes","No",1,"No",2,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Female",19,"No","Yes",2.56,4,"Sometimes","No",1.67,"No",2,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Young adult",2
"Female",27,"Yes","Yes",2,4,"Frequently","No",2.02,"No",1.08,1.3,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Adult",4
"Female",25,"Yes","Yes",2.69,4,"Frequently","No",2.21,"No",1.62,0,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",4
"Female",22,"Yes","Yes",3,4,"Frequently","No",2,"No",0.12,0.1,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",5
"Male",17,"No","Yes",2.05,3,"Sometimes","No",2.36,"No",0.29,0.9,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",3
"Female",16,"No","Yes",2.19,4,"Sometimes","No",1.36,"No",1.35,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Male",17,"No","Yes",2.21,3,"Sometimes","No",2.12,"No",1,0.9,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",3
"Male",18,"No","Yes",2.92,3,"Sometimes","No",1.78,"No",1.08,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Male",18,"Yes","Yes",2.71,3,"Sometimes","No",1.87,"No",1.22,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Male",18,"Yes","Yes",2.85,3,"Sometimes","No",2,"No",0.68,1.3,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",3
"Male",17,"Yes","Yes",2.58,4,"Sometimes","No",2,"No",2,0.4,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",4
"Male",19,"Yes","Yes",2.51,4,"Sometimes","No",2.08,"No",2.03,1.4,"No","Automobile","Insufficient Weight",1,0,0,0,"Young adult",4
"Male",18,"Yes","Yes",2,4,"Sometimes","No",2.58,"No",2,1.8,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",4
"Female",18,"No","Yes",2.9,3,"Sometimes","No",2.84,"Yes",1.95,1.2,"No","Public Transportation","Insufficient Weight",1,0,0,2,"Teen",5
"Female",16,"No","Yes",2.91,4,"Sometimes","No",2.2,"No",2.33,1.6,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",3
"Female",16,"No","Yes",2.91,4,"Sometimes","No",2.2,"No",2.41,1.4,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",3
"Male",17,"Yes","Yes",2.97,4,"Sometimes","No",2,"No",2,0.4,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",4
"Male",17,"Yes","Yes",2.61,4,"Sometimes","No",2,"No",2,0.2,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",4
"Male",19,"Yes","Yes",2,4,"Sometimes","No",2.54,"No",2,1.8,"No","Automobile","Insufficient Weight",1,0,0,0,"Young adult",4
"Female",22,"Yes","Yes",3,3,"Frequently","No",2,"No",1.26,0.4,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",5
"Male",20,"Yes","Yes",2.63,4,"Sometimes","No",2.99,"No",2,1.4,"No","Public Transportation","Insufficient Weight",1,0,0,2,"Young adult",4
"Female",22,"Yes","Yes",3,3,"Frequently","No",2.01,"No",2,0.1,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",5
"Female",19,"No","Yes",2.92,4,"Sometimes","No",1.95,"No",1.94,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Young adult",2
"Female",16,"No","Yes",2.49,4,"Sometimes","No",1.49,"No",1.95,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Female",19,"No","Yes",1.69,4,"Sometimes","No",1.1,"No",2,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Young adult",2
"Female",18,"No","Yes",1.6,4,"Sometimes","No",1.06,"No",0.82,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Female",19,"No","Yes",1.2,4,"Sometimes","No",1.13,"No",2,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Young adult",2
"Female",18,"No","Yes",1.05,4,"Frequently","No",1,"No",2,1,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Teen",2
"Female",19,"No","No",2.91,3,"Frequently","No",1,"Yes",1.46,0,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",4
"Female",20,"No","Yes",2.87,2,"Frequently","No",1,"No",0.14,0,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",1
"Female",19,"No","Yes",2.91,2,"Frequently","No",1.6,"No",0.11,0.8,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",1
"Male",17,"Yes","Yes",2.43,3,"Sometimes","No",2,"No",2.7,1,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",4
"Male",17,"Yes","Yes",2.88,4,"Sometimes","No",2,"No",2.08,0.7,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",4
"Male",17,"Yes","Yes",2.71,4,"Sometimes","No",2.03,"No",2.01,0.6,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",4
"Female",21,"Yes","Yes",2.92,4,"Frequently","No",1.15,"No",0.99,0.1,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",3
"Female",21,"Yes","Yes",2.97,4,"Frequently","No",2.77,"No",0.61,1.3,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",4
"Female",22,"Yes","Yes",2.49,3,"Frequently","No",1.06,"No",2.21,2,"No","Public Transportation","Insufficient Weight",2,0,0,2,"Young adult",3
"Female",17,"No","Yes",1.64,4,"Sometimes","No",1.1,"No",0.42,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Female",18,"No","Yes",1.57,3,"Sometimes","No",1.99,"No",0.11,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Female",18,"No","Yes",1.04,4,"Sometimes","No",1.75,"No",0.12,1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Female",18,"No","Yes",1.65,2,"Sometimes","No",1.55,"No",0.23,2,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",1
"Female",19,"No","Yes",1.12,3,"Sometimes","No",2,"No",2.43,1.6,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Young adult",3
"Female",20,"No","Yes",2.67,3,"Frequently","No",1.25,"No",0.04,0.4,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",2
"Male",19,"Yes","Yes",2.12,4,"Sometimes","No",2.58,"No",2,1.5,"No","Automobile","Insufficient Weight",1,0,0,0,"Young adult",4
"Male",17,"Yes","Yes",3,4,"Sometimes","No",2,"No",2,0.4,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",5
"Male",18,"Yes","Yes",2.34,4,"Sometimes","No",2.31,"No",2.01,1.1,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",4
"Male",17,"Yes","Yes",2.86,4,"Sometimes","No",2,"No",2,0,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",4
"Male",17,"Yes","Yes",2.56,4,"Sometimes","No",2,"No",2.01,0.6,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",4
"Male",17,"Yes","Yes",2.42,4,"Sometimes","No",2,"No",2,0,"No","Automobile","Insufficient Weight",1,0,0,0,"Teen",4
"Male",18,"Yes","Yes",1.79,3,"Sometimes","No",1.55,"No",0.51,1.6,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Male",18,"Yes","Yes",1.3,3,"Sometimes","No",1.76,"No",0.06,1.7,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Male",18,"Yes","Yes",1.89,3,"Sometimes","No",1.96,"No",0.52,1.1,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Female",19,"No","No",2.98,3,"Frequently","No",1.02,"Yes",1.33,0,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",4
"Female",19,"No","No",3,3,"Frequently","No",1.25,"Yes",0.98,0,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",5
"Female",19,"No","No",3,3,"Frequently","No",2.49,"Yes",1.23,0,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",6
"Female",19,"No","Yes",3,1,"Frequently","No",1.5,"No",0,0.5,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",2
"Female",19,"No","Yes",2.75,2,"Frequently","No",1.32,"No",0.46,0.8,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",1
"Female",19,"No","Yes",3,1,"Frequently","No",1.76,"No",0,0.6,"Sometimes","Public Transportation","Insufficient Weight",2,1,0,2,"Young adult",2
"Male",18,"Yes","Yes",1.2,3,"Sometimes","No",1.93,"No",0.02,1.8,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Male",18,"Yes","Yes",2,4,"Sometimes","No",2.07,"No",1.49,2,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",3
"Male",18,"Yes","Yes",1.87,3,"Sometimes","No",1.28,"No",0.68,1.5,"Sometimes","Public Transportation","Insufficient Weight",1,1,0,2,"Teen",2
"Male",26,"No","Yes",2.34,2,"Sometimes","No",2,"No",2,0.6,"No","Automobile","Overweight Level I",1,0,2,0,"Adult",3
"Male",21,"No","Yes",2,1,"No","No",2.12,"No",0.77,0,"Sometimes","Public Transportation","Overweight Level I",0,1,2,2,"Young adult",3
"Male",25,"No","Yes",1.45,4,"Sometimes","No",2.15,"No",0.05,1,"No","Automobile","Overweight Level I",1,0,2,0,"Young adult",4
"Male",21,"Yes","Yes",2.2,4,"Sometimes","No",1.82,"No",0.99,0,"Sometimes","Public Transportation","Overweight Level I",1,1,2,2,"Young adult",2
"Male",21,"No","Yes",1.21,3,"No","No",2.41,"No",0.95,0.5,"Sometimes","Public Transportation","Overweight Level I",0,1,2,2,"Young adult",4
"Male",19,"Yes","Yes",2,3,"Sometimes","No",1.02,"No",0,0.4,"Sometimes","Public Transportation","Overweight Level I",1,1,2,2,"Young adult",2
"Female",41,"No","Yes",2.82,4,"Sometimes","No",2.72,"No",3,0.3,"Sometimes","Automobile","Overweight Level I",1,1,2,0,"Middle age",4
"Male",21,"Yes","Yes",2,3,"Sometimes","No",1.35,"No",1.1,1,"Sometimes","Public Transportation","Overweight Level I",1,1,2,2,"Young adult",2
"Male",21,"Yes","Yes",2,3,"Sometimes","No",1.83,"No",0.7,0.1,"Sometimes","Public Transportation","Overweight Level I",1,1,2,2,"Young adult",2
"Female",18,"Yes","Yes",2,2,"Sometimes","No",2.21,"No",2.64,0.7,"Frequently","Public Transportation","Overweight Level I",1,2,2,2,"Teen",2
"Male",23,"Yes","Yes",2,3,"Sometimes","No",2,"No",0.35,1.4,"Sometimes","Public Transportation","Overweight Level I",1,1,2,2,"Young adult",3
"Female",33,"Yes","No",3,2,"Sometimes","No",1.07,"No",0.68,0,"Sometimes","Automobile","Overweight Level I",1,1,2,0,"Adult",3
"Female",21,"Yes","Yes",1.76,4,"Sometimes","No",2.17,"No",0.92,1.4,"Sometimes","Public Transportation","Overweight Level I",1,1,2,2,"Young adult",3
"Male",21,"No","Yes",2,2,"No","No",3,"No",1,0,"Sometimes","Public Transportation","Overweight Level I",0,1,2,2,"Young adult",3
"Female",35,"No","Yes",2,3,"Sometimes","No",1.46,"No",0,1,"Sometimes","Automobile","Overweight Level I",1,1,2,0,"Adult",2
"Female",36,"Yes","Yes",2.39,3,"Sometimes","No",2.95,"No",0,0.4,"Sometimes","Automobile","Overweight Level I",1,1,2,0,"Middle age",3
"Female",21,"Yes","Yes",2.58,1,"Sometimes","No",2,"No",2.29,0,"Sometimes","Public Transportation","Overweight Level I",1,1,2,2,"Young adult",2
